pubchem_cid,chemical,synonym_count,synonyms
65064,EPIGALLOCATECHIN-GALLATE,171,"(-)-Epigallocatechin gallate|989-51-5|EGCG|Epigallocatechin gallate|Tea catechin|(-)-Epigallocatechin-3-o-gallate|Epigallocatechin-3-gallate|Teavigo|(-)-Epigallocatechol gallate|L-Epigallocatechin gallate|PF-EGCg 90|Epigallocatechingallate|NVP-XAA 723|DTXSID1029889|BQM438CTEL|epigallocatechin-3-O-gallate|(-)-Epigallocatechin-3-gallate|Epigallocatechin-gallate|EPIGALLOCATECHIN 3-O-GALLATE|DTXCID80567|CHEBI:4806|(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3-yl 3,4,5-trihydroxybenzoate|3-O-Galloyl-(-)-epigallocatechin|EGCG cpd|epigallo-catechin gallate|RefChem:5796|GlyTouCan:G31622WS|G31622WS|((2R,3R)-2-(3,4,5-trihydroxyphenyl)-5,7-dihydroxy-chroman-3-yl) 3,4,5-trihydroxybenzoate|((2S,3S)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl) 3,4,5-trihydroxybenzoate|(2R-cis)-3,4-Dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl 3,4,5-Trihydroxybenzoate|Epigallocatechin 3-gallate|Epigallocatechin-3-monogallate|(-)-epigallocatechin 3-gallate|(2R,3R)-5,7-Dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,4,5-trihydroxybenzoate|Catechin deriv.|(-)-epigallocatechin 3-O-gallate|MFCD00075940|[(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl] 3,4,5-trihydroxybenzoate|Benzoic acid, 3,4,5-trihydroxy-, (2R,3R)-3,4-dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl ester|[(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl] 3,4,5-trihydroxybenzoate|CHEMBL297453|(2R,3R)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-3,4-dihydro-2H-chromen-3-yl 3,4,5-trihydroxybenzoate|C22H18O11|Benzoic acid, 3,4,5-trihydroxy-,(2R,3R)-3,4-dihydro-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)-2H-1-benzopyran-3-yl ester|(-)-Epigallocatechin Gallate (Standard)|M01719|CAS-989-51-5|SMR000449288|(-)-EGCG"
65238,PENTAGALLOYL-GLUCOSE,99,"Pentagalloylglucose|14937-32-7|1,2,3,4,6-Penta-O-galloyl-beta-D-glucose|GALLOTANNIN 15|Pentagalloyl-beta-D-glucose|1,2,3,4,6-penta-O-galloyl-beta-D-glucopyranose|Penta-O-galloyl-beta-D-glucose|beta-D-pentagalloylglucose|1,2,3,4,6-Penta-O-galloylglucose|beta-D-Glucopyranose pentakis(3,4,5-trihydroxybenzoate)|Beta-1,2,3,4,6-Pentagalloylglucose|3UI3K8W93I|1,2,3,4,6-Penta-O-galloyl beta-glucopyranose|J277.746K|C04576|1,2,3,4,6-pentagalloyl-beta-d-glucopyranoside|[(2R,3R,4S,5R,6S)-3,4,5,6-tetrakis[(3,4,5-trihydroxybenzoyl)oxy]oxan-2-yl]methyl 3,4,5-trihydroxybenzoate|penta-o-galloyl-alpha-d-glucose|penta-O-galloyl-beta-D-glucoside|((2R,3R,4S,5R,6S)-3,4,5,6-tetrakis((3,4,5-trihydroxybenzoyl)oxy)oxan-2-yl)methyl 3,4,5-trihydroxybenzoate|RefChem:44252|1,2,3,4,6-penta-o-galloyl-beta-glucose|penta-1,2,3,4,6-O-galloyl-beta-D-glucose|beta-penta-O-galloyl-glucose, (D)-|PENTA-O-GALLOYL-beta-D-GLUCOPYRANOSE|1,2,3,4,6-pentagalloyl-beta-D-glucopyranose|1,2,3,4,6-pentagalloyl-D-glucose|1,2,3,4,6-Pentagalloylglucose|Pentagalloyl glucose|1,2,3,4,6-o-Pentagalloylglucose|1,2,3,4,6-Pgg|1,2,3,4,6-Pentakis-O-galloyl-beta-D-glucose|CHEMBL382408|(2S,3R,4S,5R,6R)-6-(((3,4,5-Trihydroxybenzoyl)oxy)methyl)tetrahydro-2H-pyran-2,3,4,5-tetrayl tetrakis(3,4,5-trihydroxybenzoate)|beta-D-glucopyranose, 1,2,3,4,6-pentakis(3,4,5-trihydroxybenzoate)|PGG|MFCD03788860|1,2,3,4,6-pentakis-O-(3,4,5-trihydroxybenzoyl)-beta-D-glucopyranose|beta-Penta-O-galloyl-glucose|[(2R,3R,4S,5R,6S)-3,4,5,6-tetrakis[(3,4,5-trihydroxybenzoyl)oxy]tetrahydropyran-2-yl]methyl 3,4,5-trihydroxybenzoate|5GG|penta-O-galloyl-beta-d-glucose hydrate|1,2,3,4,6-Penta-O-galloyl-b-D-glucopyranose >90%|UNII-3UI3K8W93I|DB03208|1,2,3,4,6-Pentagalloyl glucose|pentagalloyl-glucoside|1,2,3,4,6-penta-O-galloyl-D-glucopyranose|1,2,3,4,6-penta-o-galloyl-d-glucose|penta-o-galloyl glucose"
98570,ALPHA-ALLOCRYPTOPINE,95,"Allocryptopine|485-91-6|Thalictrimine|alpha-Allocryptopine|beta-Homochelidonine|alpha-Fagarine|Allocrytopine|EK27J8ROYB|5,7,8,15-Tetrahydro-3,4-dimethoxy-6-methyl(1,3)benzodioxolo(5,6-e)(2)benzazecin-14(6H)-one|CHEBI:17390|DTXSID60871677|allo-cryptopine|7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo[12.7.0.04,9.016,20]henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one|NSC-404531|3,4-Dimethoxy-6-methyl-5,7,8,15-tetrahydrobenzo[c][1,3]benzodioxolo[5,6-g]azecin-14(6H)-one|3,4-dimethoxy-6-methyl-5,7,8,15-tetrahydrobenzo(c)(1,3)benzodioxolo(5,6-g)azecin-14(6H)-one|7,8-dimethoxy-11-methyl-17,19-dioxa-11-azatetracyclo(12.7.0.04,9.016,20)henicosa-1(21),4(9),5,7,14,16(20)-hexaen-2-one|RefChem:27091|DTXCID40203972|207-626-5|622-215-4|24240-04-8|Fagarine I|.alpha.-Fagarine|.beta.-Homochelidonine|Allocryptopin|.alpha.-Allocryptopine|3,4-dimethoxy-6-methyl-5,7,8,15-tetrahydro-[1,3]dioxolo[4',5':4,5]benzo[1,2-g]benzo[c]azecin-14(6H)-one|NSC645286|beta-Allocryptopine|5,7,8,15-Tetrahydro-3,4-dimethoxy-6-methylbenzo(e)(1,3)dioxolo(4,5-k)(3)benzazecin-14(6H)-one|5,7,8,15-Tetrahydro-3,4-dimethoxy-6-methyl-[1,3]benzodioxolo[5,6-e][2]benzazecin-14(6H)-one|7,8-DIMETHOXY-11-METHYL-17,19-DIOXA-11-AZATETRACYCLO[12.7.0.0?,?.0(1)?,(2)?]HENICOSA-1(14),4(9),5,7,15,20-HEXAEN-2-ONE|Benzo(e)(1,3)dioxolo(4,5-k)(3)benzazecin-14(6H)-one, 5,7,8,15-tetrahydro-3,4-dimethoxy-6-methyl-|Benzo(e)(1,3)dioxolo(4,5-k)(3)benzazecin-14(6H)-one, 5,7,8,15-tetrahydro-3,4-dimethoxy-6-methyl- (VAN)|gamma-Homochelidonine|UNII-EK27J8ROYB|Taliktrimin|a-Fagarine; Thalictrimine; a-allo-Cryptopine; ss-Homochelidonine|Alpha-Fagarine;|3,4-dimethoxy-6-methyl-5,6,7,8-tetrahydro-[1,3]dioxolo[4',5':4,5]benzo[1,2-g]benzo[c]azecin-14(15H)-one|Benzo[e][1,5-k][3]benzazecin-14(6H)-one, 5,7,8,15-tetrahydro-3,4-dimethoxy-6-methyl- (VAN8C|EINECS 207-626-5|.beta.-Allocryptopine|NSC 404531|.gamma.-Homochelidonine|Allocryptopine (Standard)|ALLOCRYPTOPINE [MI]|Taliktrimin (thalictrimine)|Oprea1_535693"
5280805,RUTIN,210,"RUTIN|153-18-4|rutoside|Quercetin 3-rutinoside|Phytomelin|Birutan|Sophorin|Myrticolorin|Globulariacitrin|Ilixanthin|Osyritrin|Paliuroside|Tanrutin|3-Rutinosyl quercetin|Quercetin-3-rutinoside|Quercetin 3-O-rutinoside|Yunxianggan|Rutosido|Rutine|3-Rhamnoglucosylquercetin|Rutosidum|Rutinum|quercetin-3-O-rutinoside|Novarrutina|Violaquercetrin|C.I. 75730|DTXSID3022326|5G06TVY3R7|NSC-9220|DTXCID802326|3-[[6-O-(6-Deoxy-alpha-l-mannopyranosyl)-beta-d-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one|CHEBI:28527|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one|4H-1-Benzopyran-4-one, 3-((6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}methyl)oxan-2-yl]oxy}-4H-chromen-4-one|3-((6-O-(6-Deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl)oxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one|4H-1-Benzopyran-4-one, 3-[[6-O-(6-deoxy-alpha-L-mannopyranosyl)-beta-D-glucopyranosyl]oxy]-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-|NSC9220|Quercetin 3 Rutinoside|Quercetin, 3-Rhamnosyl-Glucosyl|Quercetin Glycoside|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-(((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-((((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl)oxy)methyl)oxan-2-yl)oxy)-4H-chromen-4-one|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-((2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(((2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl)oxymethyl)oxan-2-yl)oxychromen-4-one|RefChem:6577|Rutin 1541|C05CA01|2-(3,4-dihydroxyphenyl)-4,5-dihydroxy-3-(3,4,5-trihydroxy-6-((3,4,5-trihydroxy-6-methyl-tetrahydropyran-2-yl)oxymethyl)tetrahydropyran-2-yl)oxy-chromen-7-one|205-814-1|3-Rhamnosyl-Glucosyl Quercetin|Eldrin"
9064,(+)-CATECHIN,257,"Cianidanol|CATECHIN|154-23-4|Catechuic acid|Catechinic acid|D-Catechin|Cianidol|(+)-Catechol|D-Catechol|(+)-Cyanidanol|D-(+)-Catechin|(2R,3S)-2-(3,4-Dihydroxyphenyl)chroman-3,5,7-triol|Cianidanolum|(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol|NSC-2819|Catechin, d-|3,3',4',5,7-Flavanpentol|(+)-3',4',5,7-Tetrahydroxy-2,3-trans-flavan-3-ol|2H-1-Benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R-trans)-|8R1V1STN48|CHEBI:15600|(+)-(2R,3S)-5,7,3',4'-Tetrahydroxyflavan-3-ol|KB 53|2H-1-benzopyran-3,5,7-triol, 2-(3,4-dihydroxyphenyl)-3,4-dihydro-, (2R,3S)-|DTXSID3022322|CHEBI:23053|Cyanidanol 3|Slim 2|RefChem:5687|GlyTouCan:G67369RN|DTXCID202322|KB53|G67369RN|205-825-1|2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol|(+)-catechin|Cyanidanol|Catergen|Biocatechin|(+)-Cyanidan-3-ol|Dexcyanidanol|Catechin (flavan)|Catechol (flavan)|DL-Catechin|(2R,3S)-Catechin|3-Cyanidanol, (+)-|(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol|(+)-Cyanidanol-3|dl-Catechol|(2R,3S)-(+)-Catechin"
5280445,LUTEOLIN,156,"luteolin|491-70-3|3',4',5,7-Tetrahydroxyflavone|Digitoflavone|Luteolol|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one|Flacitran|Luteoline|Salifazide|Yama kariyasu|Weld Lake|5,7,3',4'-Tetrahydroxyflavone|Cyanidenon-1470|2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one|4H-1-Benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-|2-(3,4-Dihydroxyphenyl)-5,7-dihydroxy-4-benzopyrone|KUX1ZNC9J2|DTXSID4074988|CHEBI:15864|3',4',5,7-Tetrahydroxy-Flavone|RefChem:6458|DTXCID6040668|207-741-0|Cyanidenon 1470|Bismite|MFCD00017309|Luteolin (Standard)|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-1-benzopyran-4-one|CHEMBL151|2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-chromen-4-one|FLAVONE, 3',4',5,7-TETRAHYDROXY-|1318-21-4|C.I. Natural Yellow 2|SMR000326896|7-Tetrahydroxyflavone|CCRIS 3790|SR-01000779333|EINECS 207-741-0|UNII-KUX1ZNC9J2|BRN 0292084|Luteoin|Daphneflavonol;|Digitoflavone;|Lutl|Flavopurpol;|Luteolin?|C.I. 75590|4dew|4dgn|4hkn"
5757,ESTRADIOL,576,"estradiol|beta-Estradiol|50-28-2|17beta-Estradiol|Oestradiol|Dihydrofolliculin|Estrace|Aquadiol|Diogynets|Divigel|Vivelle|Diogyn|Dihydrotheelin|Dihydroxyestrin|Dimenformon|Estraderm|Femestral|Gynoestryl|Aerodiol|Climara|Gynergon|Vagifem|Estraldine|Estrogel|Evorel|Estring|Systen|Zumenon|estradiol-17beta|cis-Estradiol|Compudose|Innofem|Alora|Fempatch|Gynodiol|Ovocylin|Esclim|17beta-Oestradiol|Elestrin|Evamist|Menostar|17-beta-estradiol|3,17-Epidihydroxyestratriene|Estraderm TTS 50|Estraderm MX|VIVELLE-DOT|Estra-1,3,5(10)-triene-3,17beta-diol|NSC-9895|Oestradiol-17beta|(17beta)-Estra-1,3,5(10)-triene-3,17-diol"
145858,ANTHOCYANINS,33,"Anthocyanins|ANTHOCYANIN|RefChem:915947|CHEBI:38697|Flavylium|2-phenylchromenylium|Enocyanin|14051-53-7|Anthocyanidin|Anthocyanidins|Enocianina|Oenocyanin|2-Phenyl-1-benzopyrylium|1-Benzopyrylium, 2-phenyl-|Flavylium ion|UNII-F02KPB2508|Flavylium cation|2-phenylbenzopyrylium|D9PP99SH3U|SCHEMBL342020|2-Phenyl-1-benzopyran-1-ium|SCHEMBL29377385|CHEBI:36121|DTXSID60864302|NWKFECICNXDNOQ-UHFFFAOYSA-N|F02KPB2508|C15H11O+|2-phenyl-1$l^{4}-chromen-1-ylium|FE71956|DA-52909|C22578|Q27116709|InChI=1/C15H11O/c1-2-6-12(7-3-1)15-11-10-13-8-4-5-9-14(13)16-15/h1-11H/q+"
638011,CITRAL,140,"Citral|5392-40-5|geranialdehyde|Lemsyn GB|3,7-Dimethyl-2,6-octadienal|2,6-Octadienal, 3,7-dimethyl-|FEMA Number 2303|NCI-C56348|FEMA No. 2303|3,7-Dimethyl-trans-2,6-octadienal|NSC-6170|T7EU0O9VPP|DTXCID304836|DTXSID6024836|CHEBI:23316|RefChem:5692|226-394-6|GERANIAL|trans-Citral|(2E)-3,7-dimethylocta-2,6-dienal|141-27-5|alpha-Citral|(E)-Citral|Citral a|Geranaldehyde|(E)-3,7-Dimethylocta-2,6-dienal|geranal|beta-Geranial|(E)-Geranial|Genanial|2,6-Octadienal, 3,7-dimethyl-, (2E)-|(E)-Neral|2,6-Octadienal, 3,7-dimethyl-, (E)-|trans-3,7-Dimethyl-2,6-octadienal|(E)-3,7-Dimethyl-2,6-octadienal|Citral-A|MFCD00006997|(2E)-3,7-Dimethyl-2,6-octadienal|Lemarome n|(2Z)-3,7-Dimethyl-2,6-octadienal|cis/trans-3,7-Dimethyl-2,6-octadienal|citral-b|a-Citral|CHEBI:16980|NSC6170|758ZMW724E|trans-Citral  = trans-3,7-Dimethyl-octa-2,6-dien-1-al|cis-3,7-Dimethyl-2,6-octadienal|NSC 6170|Citral alpha"
107876,PROANTHOCYANIDINS,48,"Procyanidin|4852-22-6|DTXSID90858698|2-(3,4-dihydroxyphenyl)-2-[[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl]oxy]-3,4-dihydrochromene-3,4,5,7-tetrol|2H-1-Benzopyran-3,4,5,7-tetrol, 2-(3,4-dihydroxyphenyl)-2-[[2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl]oxy]-3,4-dihydro-|2H-1-Benzopyran-3,4,5,7-tetrol, 2-(3,4-dihydroxyphenyl)-2-((2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl)oxy)-3,4-dihydro-|procyanidine|A-type procyanidin|type A procyanidin|2-(3,4-dihydroxyphenyl)-2-((2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-chromen-3-yl)oxy)-3,4-dihydrochromene-3,4,5,7-tetrol|RefChem:930005|DTXCID80809437|Proanthocyanidins|20347-71-1|2-(3,4-Dihydroxyphenyl)-2-((2-(3,4-dihydroxyphenyl)-5,7-dihydroxychroman-3-yl)oxy)chroman-3,4,5,7-tetraol|MFCD01662851|2-(3,4-Dihydroxyphenyl)-2-((2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl)oxy)-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol|2-(3,4-Dihydroxyphenyl)-2-[[2-(3,4-dihydroxyphenyl)-3,4-dihydro-5,7-dihydroxy-2H-1-benzopyran-3-yl]oxy]-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol|Procyanidins|2-(3,4-dihydroxyphenyl)-2-[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-chroman-3-yl]oxy-chromane-3,4,5,7-tetrol|2-(3,4-dihydroxyphenyl)-2-{[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2H-1-benzopyran-3-yl]oxy}-3,4-dihydro-2H-1-benzopyran-3,4,5,7-tetrol|BRN 1675863|3,3',4,4',5,7-Flavanhexol, 2-((2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-chromanyl)oxy)-|Procyanidin, Technical grade|orb105708|orb1299417|orb3025171|SCHEMBL15091123|SCHEMBL29396518|SCHEMBL29411813|CHEBI:166895|GLXC-17829|HMS5084L05|HY-N0794|MSK40287|s5105|AKOS025402316|AC-8032|CCG-270176|CCG-270178|EBC-255055|FP73771|DA-57050|CS-0009805|NS00001688|Procyanidin(discontinued, see CCPE901677)|EN300-7388961|2-(3,4-dihydroxyphenyl)-2-{[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3,4-dihydro-2h-chromen-3-yl]oxy}-3,4,5,7-chromanetetrol"
