pubchem_cid,chemical,activity_count,activities_sample,pubmed_count
65064,EPIGALLOCATECHIN-GALLATE,4,Antiangiogenic|Antiischemic|Antiproliferant|Antitumor,14884
65238,PENTAGALLOYL-GLUCOSE,4,Antifibrinolytic|Antiherpetic|Beta-Adrenergic Receptor Blocker|Xanthine-Oxidase-Inhibitor,841
98570,ALPHA-ALLOCRYPTOPINE,4,Analgesic|Antiarrhythmic|Antivagal|CNS-Paralytic,764
5280805,RUTIN,3,Aldose-Reductase-Inhibitor|Antiaggregant|Antiinflammatory,1876352
9064,(+)-CATECHIN,3,Anticoagulant|Antihepatitic|Hepatoprotective,1422553
5280445,LUTEOLIN,3,Aldose-Reductase-Inhibitor|Antibronchitic|Antioxidant,743006
5757,ESTRADIOL,3,Carcinogenic|Estrogenic|Topoisomerase-I-Inhibitor,401563
145858,ANTHOCYANINS,3,Antidysmenorrheic|Antimyopic|Antiviral,385601
638011,CITRAL,3,Allergenic|AntiEBV|Antibacterial,135008
107876,PROANTHOCYANIDINS,3,ACE-Inhibitor|AntiHIV|Antiperiodontal,108766
5281643,HYPEROSIDE,3,Aldose-Reductase-Inhibitor|Anticapillary-Fragility|Antiinflammatory,97731
5742590,DAUCOSTEROL,3,Antiinflammatory|Antileukemic|Antitumor,33456
8815,METHYL-CHAVICOL,3,Anesthetic|Antiaggregant|Hepatocarcinogenic,18725
10208,CHRYSOPHANOL,3,Antiseptic|Dermatitigenic|Fungicide,14724
4114,XANTHOTOXIN,3,Antidermatitic|Antileukodermic|Gastroirritant,9278
5280637,CYNAROSIDE,3,Aldose-Reductase-Inhibitor|Calcium-Antagonist|Cancer-Preventive,8233
5459840,BETA-ECDYSONE,3,Analgesic|Antifeedant|Hypocholesterolemic,8010
1001,PHENETHYLAMINE,3,Antidepressant|Insectifuge|Pyrogenic,7511
5280804,ISOQUERCETIN,3,Antiinflammatory|Antioxidant|Antiretroviral,7454
2236,ARISTOLOCHIC-ACID,3,Abortifacient|Antileukemic|Insecticide,3544
636822,ASARONE,3,Antibacterial|Anticonvulsant|Calcium-Antagonist,2498
13250,ETHYL-GALLATE,3,AntiMRSA|Anticarcinomic|CNS-Depressant,1224
11541511,FOLIANDRIN,3,Antitumor|Cardiac|Cardiotonic,213
6322,ARGININE,2,ACE-Inhibitor|Antidiabetic?,21325193
5950,ALANINE,2,Antihypoglycemic|Antioxidant,18297426
5280343,QUERCETIN,2,5-Lipoxygenase-Inhibitor|Anticapillary-Fragility,8923497
2723872,FRUCTOSE,2,Antialcoholic|Sweetener,5317239
60961,ADENOSINE,2,Antiaggregant|Hypoglycemic,3504748
938,NIACIN,2,Allergenic|AntiCrohn's,2821821
22311,LIMONENE,2,AChE-Inhibitor|Allergenic,2276924
14985,ALPHA-TOCOPHEROL,2,Anticonvulsant|Circulatory-Stimulant,1836884
5202,5-HYDROXYTRYPTAMINE,2,Abortifacient|Allergenic,1775703
1130,THIAMIN,2,Analgesic|Tonic,1220858
5793,D-GLUCOSE,2,Antisecretory|Sweetener,1038790
6540709,SAPONINS,2,Antiedemic|Antihepatomic,1035851
753,GLYCEROL,2,Antiear-wax|FLavor,612458
637542,P-COUMARIC-ACID,2,Allelopathic|Cancer-Preventive,595400
31253,MYRCENE,2,Allergenic|Cancer-Preventive,526614
2758,"1,8-CINEOLE",2,Allelopathic|Anesthetic,515748
17100,ALPHA-TERPINEOL,2,Antiallergenic|Anticariogenic,387160
72276,(-)-EPICATECHIN,2,Allelochemic|Lipoxygenase-Inhibitor,370671
936,NICOTINAMIDE,2,Antiinflammatory|Cancer-Preventive,268048
289,CATECHOL,2,Allelochemic|Antioxidant,262752
7362,FURFURAL,2,Antiseptic|Juvabional,211628
5281672,MYRICETIN,2,Allelochemic|Antiseptic,179626
72277,(-)-EPIGALLOCATECHIN,2,Aldose-Reductase-Inhibitor|Antimutagenic,178122
11230,TERPINEN-4-OL,2,Antiallergic|Antiasthmatic,172418
439213,GLUCOSAMINE,2,Antiarthritic|Antiflu,169708
445154,RESVERATROL,2,Artemicide|Fungicide,167103
5281792,ROSMARINIC-ACID,2,Antianaphylactic|Antioxidant,153918
5484006,ISOQUERCITRIN,2,Aldose-Reductase-Inhibitor|Antiinflammatory,131152
6047,DOPA,2,Analgesic|Antiparkinsonian,128841
5281520,ALPHA-HUMULENE,2,Antimalarial|Antitumor,121878
5280459,QUERCITRIN,2,Aldose-Reductase-Inhibitor|Anticomplementary,111369
5280460,SCOPOLETIN,2,Allelochemic|Antiseptic,105626
73145,BETA-AMYRIN,2,Antiedemic|Antitumor,104461
802,INDOLE-3-ACETIC-ACID,2,Allelochemic|Hormone,96302
5281654,ISORHAMNETIN,2,Antihistaminic|Antipolio,93754
5281235,CRYPTOXANTHIN,2,Colorant|Vitamin-A-Activity,86657
890,PHYTIC-ACID,2,Cancer-Preventive|Hypocalcemic,66160
47936,FORSKOLIN,2,Adenylate-Cyclase-Activator|Hypotensive,60692
8892,CAPROIC-ACID,2,Acidulant|Irritant,58108
8969,YOHIMBINE,2,Adrenergic-Blocker|Hypotensive,56057
5978,VINCRISTINE,2,Analgesic|Teratogenic,44216
2969,CAPRIC-ACID,2,FLavor|Fungicide,44208
9294,EPHEDRINE,2,Adrenergic|Thermogenic,43596
5282102,ASTRAGALIN,2,Aldose-Reductase-Inhibitor|Antileukemic,43117
442495,PULEGONE,2,Antiacetylcholinesterase|Antialzheimeran?,43107
26447,MENTHONE,2,Analgesic|Antiacetylcholinesterase,39336
637563,ANETHOLE,2,Allergenic|FLavor,37564
16666,(-)-MENTHOL,2,FLavor|Pesticide,27857
5281416,ESCULETIN,2,Analgesic|Antioxidant,26424
7991,VALERIC-ACID,2,Antihysteric|Antispasmodic,22663
7127,METHYL-EUGENOL,2,Anesthetic|CNS-Depressant,22055
359,PHLOROGLUCINOL,2,Antiseptic|Prostaglandin-Synthesis-Inhibitor,21420
440936,ARBUTIN,2,Allelochemic|Antiseptic,21318
16078,DELTA-9-TETRAHYDROCANNABINOL,2,Analgesic|Antiangiogenic,16105
2355,BERGAPTEN,2,Antiapertif|Antipsoriac,14862
261491,ALPHA-THUJONE,2,Anthelmintic|Insecticide,14424
439533,TAXIFOLIN,2,Antiinflammatory|Antimutagenic,14275
5280373,BIOCHANIN-A,2,Antimutagenic|Estrogenic,12924
5281417,AESCULIN,2,Analgesic|Anticapillary-Fragility,12416
65126,CARNOSIC-ACID,2,Antimutagenic|Antiseptic,12099
5315892,CINNAMYL-ALCOHOL,2,Allelochemic|Allergenic,10791
14982,GLYCYRRHIZIN,2,Amphiestrogenic|AntiAddisonian,10744
10212,IMPERATORIN,2,Anthelmintic|Antialopecic,10709
13342,VINBLASTINE,2,AntiHodgkin's|MDR-Inhibitor,10327
73659,MASLINIC-ACID,2,Antihistaminic|Digestive,10110
5281800,VERBASCOSIDE,2,Aldose-Reductase-Inhibitor|Antiseptic,10098
5281168,(E)-2-HEXENAL,2,Antiseptic|FLavor,8540
10856614,ALPHA-SELINENE,2,Expectorant|Perfumery,7355
8174,DECANOL,2,FLavor|Nematicide,7148
126,P-HYDROXYBENZALDEHYDE,2,Allelochemic|Antifeedant,5769
6054,PHENETHYL-ALCOHOL,2,Antibacterial|Antiseptic,5500
2214,APOCYNIN,2,Antiasthmatic|Cardiac,4995
73078,TETRANDRINE,2,ACE-Inhibitor|Anticarcinomic,4855
72344,NOBILETIN,2,Antiallergic|Cancer-Preventive,4708
5983,CALABARINE,2,Antialzheimeran|Spinal-Stimulant,4658
978,P-AMINOBENZOIC-ACID,2,Allergenic|Antirickettsial,4657
