original_ref,journal_full,volume,page,year,pmid,status
(JNP53(4):1009,Journal of Natural Products,53.0,1009.0,,1982768,RESOLVED
(PM56(4):374,Planta Medica,56.0,374.0,,2236291,RESOLVED
1 KOM,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1 KOM,,,,,,BOOK
1 PR14:240,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1 PR14:240,Pharmaceutical Research,14.0,240.0,,,NOT_FOUND
11:330-3.1990,,,,,,PARSE_ERROR
15,Jim Duke's personal files.,,,,,DUKE_REF_ID
1; EJP433:225,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; EJP433:225,European Journal of Pharmacology,433.0,225.0,,11755156,RESOLVED
1; EJP433:225 RHE38:1088,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; EJP433:225 RHE38:1088,European Journal of Pharmacology,433.0,225.0,,11755156,RESOLVED
1; EJP433:225 RHE38:1088,Rhe,38.0,1088.0,,,NOT_FOUND
1; HH3,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; HH3,,,,,,BOOK
1; X103991940,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; X103991940,,,,,103991940.0,RESOLVED
1; X11263255,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; X11263255,,,,,11263255.0,RESOLVED
1; X11286985,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; X11286985,,,,,11286985.0,RESOLVED
1; X9059855,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122.",,,,,DUKE_REF_ID
1; X9059855,,,,,9059855.0,RESOLVED
25th,,,,,,PARSE_ERROR
355,,,,,,DUKE_REF_ID
356,"Grainge, M. and Ahmed, S., Handbook of Plants with Pest-Control Properties, John Wiley & Sons, New York, NY, 1988, 470.",,,,,DUKE_REF_ID
382,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990.",,,,,DUKE_REF_ID
382 HH3,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990.",,,,,DUKE_REF_ID
382 HH3,,,,,,BOOK
382 JAF50:5751,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990.",,,,,DUKE_REF_ID
382 JAF50:5751,Journal of Agricultural and Food Chemistry,50.0,5751.0,,12358437,RESOLVED
382 X10701181,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990.",,,,,DUKE_REF_ID
382 X10701181,,,,,10701181.0,RESOLVED
411,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 BRU PNC,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 BRU PNC,,,,,,UNKNOWN_CODE
411 BRU PNC,,,,,,BOOK
411 CJP'93:300,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 CJP'93:300,Canadian Journal of Physiology and Pharmacology,93.0,300.0,,,NOT_FOUND
411 FT67:483,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 FT67:483,Fitoterapia,67.0,483.0,,,NOT_FOUND
411 JE55:1,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 JE55:1,Journal of Ethnopharmacology,55.0,1.0,,9121161,RESOLVED
411 PAL:290,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 PAL:290,,,290.0,,,BOOK
411 PH2 PNC,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 PH2 PNC,,,,,,BOOK
411 PH2 PNC,,,,,,BOOK
411 PM56:638,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 PM56:638,Planta Medica,56.0,638.0,,,NOT_FOUND
411 PR13:597,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 PR13:597,Pharmaceutical Research,13.0,597.0,,,NOT_FOUND
411 PR4(5):201,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 PR4(5):201,Pharmaceutical Research,4.0,201.0,,,NOT_FOUND
411 ZUL,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989.",,,,,DUKE_REF_ID
411 ZUL,,,,,,UNKNOWN_CODE
414,,,,,,DUKE_REF_ID
438,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4,",,,,,DUKE_REF_ID
438  PR4(1):12,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4,",,,,,DUKE_REF_ID
438  PR4(1):12,Pharmaceutical Research,4.0,12.0,,,NOT_FOUND
438 TOX,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4,",,,,,DUKE_REF_ID
438 TOX,Toxicology,,,,,JOURNAL_ONLY
450,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,,,,DUKE_REF_ID
450 455,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,,,,DUKE_REF_ID
450 455,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp",,,,,DUKE_REF_ID
450 CWW,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,,,,DUKE_REF_ID
450 CWW,,,,,,UNKNOWN_CODE
450 JAF50:5751,"Russell, G. B., Phytochemical resources for crop protection, N. Z. J. Technol., 2, 1986, 127-134.",,,,,DUKE_REF_ID
450 JAF50:5751,Journal of Agricultural and Food Chemistry,50.0,5751.0,,12358437,RESOLVED
451,"Osawa, K., Matsumoto, T., Maruyama, T., Takiguchi, T., Okuda, K., and Takazoe, I., Studies of the antibacterial activity of plant extracts and their constituents against periodontopathic bacteria, Bul",,,,,DUKE_REF_ID
452,"Recio, M. C., Rios, J. L., and Villar, A., A review of some antimicrobial compounds isolated from medicinal plants reported in the literature 1978-1988, Phytotherapy Research, 3(4), 1989, 117-125.",,,,,DUKE_REF_ID
453,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8.",,,,,DUKE_REF_ID
454,"Berenbaum, M. R., The natives knew, Chemtech, (May), 1990, 275-279.",,,,,DUKE_REF_ID
455,"Hanke, F. J., Natural Products as a Resource for Biologically Active Compounds, Thesis, U. Cal (Santa Cruz), 1986, 252 pp",,,,,DUKE_REF_ID
456,"Bonness, M. S., Promising new drugs from plants: poisons that heal, Herbarist, #56, 1990, 59-68",,,,,DUKE_REF_ID
458,"Bedows, E. and Hatfield, G. M. An investigation of the antiviral activity of Podophyllum peltatum, J. Nat. Prod., 45(6), 1982, 725-9.",,,,,DUKE_REF_ID
478,"Rupprect, J. K., Hui, Y. H., and McLaughlin, J. L., Annonaceous acetogenins: a review, J. Nat. Prod, 53(2), 1990, 237-238.",,,,,DUKE_REF_ID
481,"Alkofahi, A., Rupprect, J. K., Anderson, J. E., McLaughlin, J. L., Mikolajczak, K. L., and Scott, B. A., Search for new pesticides from higer plants, Chap. 3 in ???, Arnason et al, eds, ACS, Washingto",,,,,DUKE_REF_ID
